"product","total_quantity_sold","total_orders","profit_margin","turnover_ratio"
"Premier Automatic Letter Opener","14","5","-0.15084745762711864407","2.8"
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","14","5","0.16261682242990654206","2.8"
"Logitech G105 Gaming Keyboard","14","5","0.10312500000000000000","2.8"
"GBC Wire Binding Strips","14","5","-0.08656716417910447761","2.8"
"Xerox 1886","14","5","0.46470588235294117647","2.8"
"Acco Perma 4000 Stacking Storage Drawers","31","11","0.06560283687943262411","2.8181818181818183"
"JBL Micro Wireless Portable Bluetooth Speaker","17","6","0.01923076923076923077","2.8333333333333335"
"Avery 488","17","6","0.45432098765432098765","2.8333333333333335"
"Newell 32","17","6","0.25365853658536585366","2.8333333333333335"
"GBC Laser Imprintable Binding System Covers, Desert Sand","17","6","0.12524271844660194175","2.8333333333333335"
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray","17","6","-0.01157024793388429752","2.8333333333333335"
"Xerox 224","17","6","0.40270270270270270270","2.8333333333333335"
"GBC Standard Therm-A-Bind Covers","34","12","0.01818181818181818182","2.8333333333333335"
"Electrix Halogen Magnifier Lamp","17","6","0.11408450704225352113","2.8333333333333335"
"Xerox 1957","17","6","0.41418918918918918919","2.8333333333333335"
"Global Deluxe Office Fabric Chairs","17","6","0.16148648648648648649","2.8333333333333335"
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear","17","6","0.03194444444444444444","2.8333333333333335"
"Eldon 500 Class Desk Accessories","17","6","0.30548780487804878049","2.8333333333333335"
"Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple","17","6","0.05984848484848484848","2.8333333333333335"
"Seth Thomas 14"" Day/Date Wall Clock","17","6","0.34695121951219512195","2.8333333333333335"
"Wilson SignalBoost 841262 DB PRO Amplifier Kit","17","6","0.19594594594594594595","2.8333333333333335"
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","17","6","0.41153846153846153846","2.8333333333333335"
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","17","6","0.10696202531645569620","2.8333333333333335"
"WD My Passport Ultra 1TB Portable External Hard Drive","17","6","0.03356164383561643836","2.8333333333333335"
"Avery Round Ring Poly Binders","17","6","0.33307692307692307692","2.8333333333333335"
"Logitech G35 7.1-Channel Surround Sound Headset","17","6","0.32409638554216867470","2.8333333333333335"
"Office Star - Mesh Screen back chair with Vinyl seat","20","7","-0.05952380952380952381","2.857142857142857"
"DIXON Ticonderoga Erasable Checking Pencils","20","7","0.28235294117647058824","2.857142857142857"
"Xerox 1916","20","7","0.41176470588235294118","2.857142857142857"
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","20","7","0.30208333333333333333","2.857142857142857"
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs","20","7","0.32051282051282051282","2.857142857142857"
"Ibico Covers for Plastic or Wire Binding Elements","20","7","0.31250000000000000000","2.857142857142857"
"Eberhard Faber 3 1/2"" Golf Pencils","20","7","0.20212765957446808511","2.857142857142857"
"Martin-Yale Premier Letter Opener","20","7","-0.05434782608695652174","2.857142857142857"
"Economy Rollaway Files","20","7","0.22105263157894736842","2.857142857142857"
"GBC DocuBind 300 Electric Binding Machine","23","8","0.07286821705426356589","2.875"
"Ibico EB-19 Dual Function Manual Binding System","23","8","0.33582887700534759358","2.875"
"Newell 345","26","9","0.19833333333333333333","2.888888888888889"
"Global Deluxe Steno Chair","29","10","-0.12217391304347826087","2.9"
"Avery 520","15","5","0.47297297297297297297","3"
"Acco 6 Outlet Guardian Standard Surge Suppressor","15","5","0.15322580645161290323","3"
"Acco Banker's Clasps, 5 3/4""-Long","15","5","0.44014084507042253521","3"
"Acme Office Executive Series Stainless Steel Trimmers","21","7","0.16451612903225806452","3"
"Adams Telephone Message Books, 5 1/4 x 11","15","5","0.40671641791044776119","3"
"AT&T EL51110 DECT","3","1","0.29000000000000000000","3"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver","12","4","0.30000000000000000000","3"
"Avaya 4621SW VoIP phone","12","4","0.11250000000000000000","3"
"Avery 519","18","6","0.42530120481927710843","3"
"Avery Fluorescent Highlighter Four-Color Set","24","8","0.14285714285714285714","3"
"Avery Hi-Liter Fluorescent Desk Style Markers","6","2","0.37000000000000000000","3"
"Avery Premier Heavy-Duty Binder with Round Locking Rings","21","7","0.15373134328358208955","3"
"Belkin 8 Outlet SurgeMaster II Gold Surge Protector","15","5","0.12195121951219512195","3"
"Bevis Traditional Conference Table Top, Plinth Base","9","3","-0.22459016393442622951","3"
"Boston 16701 Slimline Battery Pencil Sharpener","6","2","0.22222222222222222222","3"
"BOSTON Ranger #55 Pencil Sharpener, Black","27","9","0.19453781512605042017","3"
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner","3","1","-0.93333333333333333333","3"
"Brown Kraft Recycled Envelopes","15","5","0.47916666666666666667","3"
"Bush Andora Conference Table, Maple/Graphite Gray Finish","12","4","-0.10000000000000000000","3"
"Bush Somerset Collection Bookcase","12","4","-0.04455958549222797927","3"
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","3","1","-2.1000000000000000","3"
"Bush Westfield Collection Bookcases, Fully Assembled","18","6","0.05003427004797806717","3"
"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner","3","1","0.04285714285714285714","3"
"Canon PC170 Desktop Personal Copier","6","2","0.11666666666666666667","3"
"Cardinal Hold-It CD Pocket","12","4","-0.32500000000000000000","3"
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base","18","6","0.02987012987012987013","3"
"Cisco 8961 IP Phone Charcoal","3","1","-0.73333333333333333333","3"
"Cisco SPA 501G IP Phone","3","1","0.07500000000000000000","3"
"Cisco SPA508G","15","5","0.22826086956521739130","3"
"ClearOne Communications CHAT 70 OC Speaker Phone","12","4","0.16226415094339622642","3"
"Colored Push Pins","15","5","0.30434782608695652174","3"
"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit","12","4","0.11250000000000000000","3"
"Contemporary Borderless Frame","6","2","0.10000000000000000000","3"
"Convenience Packs of Business Envelopes","18","6","0.41111111111111111111","3"
"Cubify CubeX 3D Printer Double Head Print","9","3","-0.80000000000000000000","3"
"DAX Black Cherry Wood-Tone Poster Frame","24","8","0.13488372093023255814","3"
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size","15","5","0.33333333333333333333","3"
"Decoflex Hanging Personal Folder File","3","1","0.26000000000000000000","3"
"Digium D40 VoIP phone","27","9","0.18771186440677966102","3"
"Document Clip Frames","6","2","0.35555555555555555556","3"
"Eldon 300 Class Desk Accessories, Black","6","2","0.44000000000000000000","3"
"Eldon Executive Woodline II Cherry Finish Desk Accessories","6","2","-0.80000000000000000000","3"
"Eldon Expressions Wood and Plastic Desk Accessories, Oak","15","5","0.28000000000000000000","3"
"Eldon Jumbo ProFile Portable File Boxes Graphite/Black","3","1","0.10000000000000000000","3"
"Eldon Regeneration Recycled Desk Accessories, Black","9","3","0.33048780487804878049","3"
"Eldon Spacemaker Box, Quick-Snap Lid, Clear","18","6","0.18289473684210526316","3"
"Epson Perfection V600 Photo Scanner","3","1","-0.83333333333333333333","3"
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote","21","7","0.18210526315789473684","3"
"Fellowes Smart Surge Ten-Outlet Protector, Platinum","3","1","0.28000000000000000000","3"
"Fellowes Super Stor/Drawer Files","27","9","0.11814516129032258065","3"
"GBC Linen Binding Covers","18","6","-0.39701492537313432836","3"
"GBC Plastic Binding Combs","30","10","0.34615384615384615385","3"
"GBC Poly Designer Binding Covers","18","6","0.40000000000000000000","3"
"Global Executive Mid-Back Manager's Chair","18","6","0.16226415094339622642","3"
"Global Leather Executive Chair","21","7","0.11976047904191616766","3"
"Harbour Creations 67200 Series Stacking Chairs","24","8","0.16966824644549763033","3"
"Harmony HEPA Quiet Air Purifiers","12","4","0.29090909090909090909","3"
"Hewlett-Packard Deskjet 5550 Printer","3","1","0.08333333333333333333","3"
"Hewlett-Packard Deskjet 6540 Color Inkjet Printer","6","2","0.10000000000000000000","3"
"Hewlett Packard 610 Color Digital Copier / Printer","21","7","0.35112359550561797753","3"
"Holmes Harmony HEPA Air Purifier for 17 x 20 Room","3","1","0.43000000000000000000","3"
"Holmes Replacement Filter for HEPA Air Cleaner, Large Room","12","4","0.31764705882352941176","3"
"Hon 4070 Series Pagoda Round Back Stacking Chairs","21","7","0.17826086956521739130","3"
"Hon Comfortask Task/Swivel Chairs","18","6","-0.02162162162162162162","3"
"Hoover WindTunnel Plus Canister Vacuum","9","3","0.22857142857142857143","3"
"Howard Miller 16"" Diameter Gallery Wall Clock","12","4","0.18666666666666666667","3"
"Hypercom P1300 Pinpad","21","7","0.24829545454545454545","3"
"I.R.I.S IRISCard Anywhere 5 Card Scanner","3","1","0.43333333333333333333","3"
"Jensen SMPS-640 - speaker phone","12","4","0.17777777777777777778","3"
"JM Magazine Binder","18","6","0.24516129032258064516","3"
"Kensington 6 Outlet SmartSocket Surge Protector","6","2","-0.25000000000000000000","3"
"KeyTronic E03601U1 - Keyboard - Beige","18","6","0.18000000000000000000","3"
"Kingston Digital DataTraveler 64GB USB 2.0","6","2","0.08000000000000000000","3"
"Kingston Digital DataTraveler 8GB USB 2.0","9","3","-0.04594594594594594595","3"
"Lexmark 20R1285 X6650 Wireless All-in-One Printer","6","2","0.36400000000000000000","3"
"Lexmark MarkNet N8150 Wireless Print Server","6","2","-0.70000000000000000000","3"
"Linden 12"" Wall Clock With Oak Frame","3","1","0.30000000000000000000","3"
"Logitech Illuminated Ultrathin Keyboard with Backlighting","3","1","0.41000000000000000000","3"
"Logitech Wireless Performance Mouse MX for PC and Mac","21","7","0.27666666666666666667","3"
"Maxell CD-R Discs","9","3","0.23500000000000000000","3"
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors","9","3","-0.07142857142857142857","3"
"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book","6","2","0.47000000000000000000","3"
"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book","18","6","0.35540540540540540541","3"
"Micro Innovations USB RF Wireless Keyboard with Mouse","18","6","0.19204545454545454545","3"
"Motorola Moto X","6","2","0.08750000000000000000","3"
"NETGEAR RangeMax WNR1000 Wireless Router","3","1","0.20000000000000000000","3"
"Newell 322","18","6","0.21785714285714285714","3"
"Newell 333","33","11","0.21730769230769230769","3"
"Newell 335","12","4","0.29000000000000000000","3"
"Newell 342","3","1","0.29000000000000000000","3"
"Newell 344","18","6","0.18780487804878048780","3"
"Newell Chalk Holder","21","7","0.43861386138613861386","3"
"Nortel Business Series Terminal T7208 Digital phone","9","3","0.10000000000000000000","3"
"O'Sullivan Cherrywood Estates Traditional Bookcase","6","2","0.06400000000000000000","3"
"O'Sullivan Manor Hill 2-Door Library in Brianna Oak","12","4","-0.17362637362637362637","3"
"Office Star Flex Back Scooter Chair with White Frame","21","7","-0.12875000000000000000","3"
"Okidata B401 Printer","3","1","-1.4000000000000000","3"
"Panasonic Business Telephones KX-T7736","3","1","0.30000000000000000000","3"
"Panasonic KX TS3282B Corded phone","9","3","0.07500000000000000000","3"
"Pastel Pink Envelopes","9","3","0.48000000000000000000","3"
"Permanent Self-Adhesive File Folder Labels for Typewriters by Universal","18","6","0.42823529411764705882","3"
"Polycom CX300 Desktop Phone USB VoIP phone","15","5","0.03571428571428571429","3"
"Polycom SoundStation2 EX Conference phone","12","4","0.13061224489795918367","3"
"Polycom VoiceStation 500 Conference phone","15","5","0.09274193548387096774","3"
"Prang Dustless Chalk Sticks","24","8","0.48275862068965517241","3"
"Premier Electric Letter Opener","24","8","0.00000000000000000000","3"
"Pressboard Data Binder, Crimson, 12"" X 8 1/2""","9","3","0.21612903225806451613","3"
"RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting","3","1","0.01000000000000000000","3"
"RCA ViSYS 25425RE1 Corded phone","3","1","0.11250000000000000000","3"
"Recycled Premium Regency Composition Covers","9","3","0.36250000000000000000","3"
"Riverleaf Stik-Withit Designer Note Cubes","15","5","0.40441176470588235294","3"
"Rosewill 107 Normal Keys USB Wired Standard Keyboard","9","3","0.00769230769230769231","3"
"Safco Drafting Table","12","4","0.05333333333333333333","3"
"Samsung Galaxy S4 Mini","15","5","0.18076923076923076923","3"
"Samsung Rugby III","24","8","0.16571428571428571429","3"
"Socket Bluetooth Cordless Hand Scanner (CHS)","3","1","0.35000000000000000000","3"
"Sony 32GB Class 10 Micro SDHC R40 Memory Card","12","4","0.21000000000000000000","3"
"Sony 64GB Class 10 Micro SDHC R40 Memory Card","27","9","0.14680000000000000000","3"
"Sony 8GB Class 10 Micro SDHC R40 Memory Card","3","1","0.01250000000000000000","3"
"Spigen Samsung Galaxy S5 Case Wallet","15","5","0.19565217391304347826","3"
"Storex Flexible Poly Binders with Double Pockets","9","3","-0.18536585365853658537","3"
"Strathmore #10 Envelopes, Ultimate White","12","4","0.49000000000000000000","3"
"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors","3","1","0.36000000000000000000","3"
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats","15","5","-0.29166666666666666667","3"
"Tenex Personal Self-Stacking Standard File Box, Black/Gray","15","5","0.19485294117647058824","3"
"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream","3","1","0.36250000000000000000","3"
"Vtech AT&T CL2940 Corded Speakerphone, Black","3","1","0.33750000000000000000","3"
"Wasp CCD Handheld Bar Code Reader","3","1","0.13333333333333333333","3"
"Wausau Papers Astrobrights Colored Envelopes","9","3","0.45357142857142857143","3"
"WD My Passport Ultra 500GB Portable External Hard Drive","12","4","0.17000000000000000000","3"
"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black","6","2","0.26000000000000000000","3"
"Wilson Jones DublLock D-Ring Binders","6","2","0.43396226415094339623","3"
"Xerox 190","6","2","0.47000000000000000000","3"
"Xerox 1922","3","1","0.36250000000000000000","3"
"Xerox 1924","12","4","0.41153846153846153846","3"
"Xerox 1925","18","6","0.37341772151898734177","3"
"Xerox 1932","3","1","0.33750000000000000000","3"
"Xerox 1936","9","3","0.38846153846153846154","3"
"Xerox 1937","12","4","0.40000000000000000000","3"
"Xerox 1940","12","4","0.45357142857142857143","3"
"Xerox 1950","9","3","0.46627906976744186047","3"
"Xerox 1953","12","4","0.40000000000000000000","3"
"Xerox 1967","15","5","0.43478260869565217391","3"
"Xerox 1993","24","8","0.46315789473684210526","3"
"Xerox 200","15","5","0.40000000000000000000","3"
"Xerox 210","18","6","0.36756756756756756757","3"
"Xerox 213","18","6","0.45581395348837209302","3"
"Xerox 223","9","3","0.48000000000000000000","3"
"Zebra ZM400 Thermal Label Printer","6","2","0.48000000000000000000","3"
"Ibico Hi-Tech Manual Binding System","34","11","-0.05649717514124293785","3.090909090909091"
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","31","10","0.28240740740740740741","3.1"
"Belkin 19"" Vented Equipment Shelf, Black","31","10","-0.12830882352941176471","3.1"
"Xerox 1915","28","9","0.45263157894736842105","3.111111111111111"
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","28","9","0.38166666666666666667","3.111111111111111"
"Logitech Trackman Marble Mouse","28","9","0.37054263565891472868","3.111111111111111"
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book","28","9","0.44210526315789473684","3.111111111111111"
"VTech DS6151","25","8","0.17431192660550458716","3.125"
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","25","8","0.34210526315789473684","3.125"
"Xerox 217","25","8","0.44444444444444444444","3.125"
"Insertable Tab Post Binder Dividers","25","8","-0.59638554216867469880","3.125"
"Novimex Swivel Fabric Task Chair","25","8","-0.15284974093264248705","3.125"
"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","25","8","0.06512605042016806723","3.125"
"Cardinal Holdit Business Card Pockets","25","8","0.26136363636363636364","3.125"
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled","25","8","0.44214876033057851240","3.125"
"Xerox 220","25","8","0.41964285714285714286","3.125"
"Computer Room Manger, 14""","22","7","0.28163265306122448980","3.142857142857143"
"Kingston Digital DataTraveler 32GB USB 2.0","22","7","0.01523809523809523810","3.142857142857143"
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13","22","7","0.38265306122448979592","3.142857142857143"
"Wilson Jones Custom Binder Spines & Labels","22","7","-0.47631578947368421053","3.142857142857143"
"Xerox 222","22","7","0.45000000000000000000","3.142857142857143"
"Neat Ideas Personal Hanging Folder Files, Black","22","7","0.20970873786407766990","3.142857142857143"
"NETGEAR N750 Dual Band Wi-Fi Gigabit Router","22","7","0.32952380952380952381","3.142857142857143"
"Eldon 200 Class Desk Accessories","22","7","0.29433962264150943396","3.142857142857143"
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","22","7","0.15639097744360902256","3.142857142857143"
"Nu-Dell Float Frame 11 x 14 1/2","22","7","0.32842105263157894737","3.142857142857143"
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","22","7","0.29382716049382716049","3.142857142857143"
"Square Credit Card Reader","22","7","0.06436781609195402299","3.142857142857143"
"Panasonic KX-TG6844B Expandable Digital Cordless Telephone","22","7","0.06627906976744186047","3.142857142857143"
"Belkin F5C206VTEL 6 Outlet Surge","22","7","0.23762376237623762376","3.142857142857143"
"Magna Visual Magnetic Picture Hangers","19","6","0.33068181818181818182","3.1666666666666665"
"Innergie mMini Combo Duo USB Travel Charging Kit","19","6","0.40481927710843373494","3.1666666666666665"
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""","19","6","-0.00700000000000000000","3.1666666666666665"
"Stacking Trays by OIC","19","6","0.12808219178082191781","3.1666666666666665"
"Wi-Ex zBoost YX540 Cellular Phone Signal Booster","19","6","0.21764705882352941176","3.1666666666666665"
"Avery 483","19","6","0.38928571428571428571","3.1666666666666665"
"Logitech ClearChat Comfort/USB Headset H390","19","6","0.30054945054945054945","3.1666666666666665"
"Avery 52","19","6","0.45860215053763440860","3.1666666666666665"
"Airmail Envelopes","19","6","0.37839506172839506173","3.1666666666666665"
"Motorola L804","19","6","-0.02196969696969696970","3.1666666666666665"
"Leather Task Chair, Black","19","6","0.03797468354430379747","3.1666666666666665"
"Lumber Crayons","19","6","0.32298850574712643678","3.1666666666666665"
"ClearSounds CSC500 Amplified Spirit Phone Corded phone","19","6","0.14500000000000000000","3.1666666666666665"
"Xerox 189","19","6","0.41882352941176470588","3.1666666666666665"
"Avery 508","19","6","0.45561797752808988764","3.1666666666666665"
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream","19","6","0.41882352941176470588","3.1666666666666665"
"Portable Personal File Box","19","6","0.24619565217391304348","3.1666666666666665"
"Eureka The Boss Cordless Rechargeable Stick Vac","19","6","0.25430107526881720430","3.1666666666666665"
"DIXON Oriole Pencils","19","6","0.19195402298850574713","3.1666666666666665"
"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set","19","6","0.42784090909090909091","3.1666666666666665"
"Fellowes Mighty 8 Compact Surge Protector","19","6","0.19529411764705882353","3.1666666666666665"
"Poly String Tie Envelopes","35","11","0.44461077844311377246","3.1818181818181817"
"Sterilite Officeware Hinged File Box","35","11","0.22575757575757575758","3.1818181818181817"
"Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set","16","5","0.46666666666666666667","3.2"
"Wilson Electronics DB Pro Signal Booster","32","10","0.05806451612903225806","3.2"
"Canon Imageclass D680 Copier / Fax","16","5","0.31250000000000000000","3.2"
"Advantus T-Pin Paper Clips","16","5","0.31267605633802816901","3.2"
"Xerox 1923","16","5","0.41408450704225352113","3.2"
"Colored Envelopes","16","5","0.37391304347826086957","3.2"
"Nortel Meridian M3904 Professional Digital phone","32","10","0.21111111111111111111","3.2"
"Avery 51","16","5","0.43157894736842105263","3.2"
"Avery 489","16","5","0.45974025974025974026","3.2"
"Safco Industrial Wire Shelving","16","5","-0.09295774647887323944","3.2"
"Belkin F9G930V10-GRY 9 Outlet Surge","16","5","0.21111111111111111111","3.2"
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box","16","5","0.44935064935064935065","3.2"
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf","16","5","-0.09629629629629629630","3.2"
"Sterilite Show Offs Storage Containers","16","5","-0.08108108108108108108","3.2"
"Contico 72""H Heavy-Duty Storage System","16","5","-0.09589041095890410959","3.2"
"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive","29","9","0.17142857142857142857","3.2222222222222223"
"Belkin 6 Outlet Metallic Surge Strip","29","9","0.10954356846473029046","3.2222222222222223"
"Tennsco Industrial Shelving","29","9","-0.08473282442748091603","3.2222222222222223"
"Logitech G602 Wireless Gaming Mouse","29","9","0.25760000000000000000","3.2222222222222223"
"Acme Stainless Steel Office Snips","13","4","0.15267857142857142857","3.25"
"Akro-Mils 12-Gallon Tote","13","4","0.19035087719298245614","3.25"
"Economy #2 Pencils","13","4","0.26000000000000000000","3.25"
"Acme 10"" Easy Grip Assistive Scissors","26","8","0.28906250000000000000","3.25"
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","26","8","0.00273972602739726027","3.25"
"Sony Micro Vault Click 8 GB USB 2.0 Flash Drive","13","4","0.09838709677419354839","3.25"
"Belkin 325VA UPS Surge Protector, 6'","13","4","0.14473684210526315789","3.25"
"Wilson Jones Standard D-Ring Binders","26","8","0.27853403141361256545","3.25"
"Bevis Rectangular Conference Tables","13","4","-0.58260869565217391304","3.25"
"Global Leather and Oak Executive Chair, Black","26","8","0.13333333333333333333","3.25"
"Avery 493","13","4","0.41842105263157894737","3.25"
"Carina Double Wide Media Storage Towers in Natural & Black","39","12","-0.00106951871657754011","3.25"
"Luxo Professional Magnifying Clamp-On Fluorescent Lamps","13","4","0.08360655737704918033","3.25"
"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black","13","4","0.03515625000000000000","3.25"
"Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ","13","4","0.22000000000000000000","3.25"
"StarTech.com 10/100 VDSL2 Ethernet Extender Kit","13","4","-0.33714285714285714286","3.25"
"Nortel Meridian M5316 Digital phone","13","4","0.09245283018867924528","3.25"
"Avery Binding System Hidden Tab Executive Style Index Sets","26","8","0.18238993710691823899","3.25"
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue","13","4","0.28000000000000000000","3.25"
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx","13","4","0.04574468085106382979","3.25"
"Seth Thomas 14"" Putty-Colored Wall Clock","13","4","0.26475409836065573770","3.25"
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","13","4","0.37452830188679245283","3.25"
"Avaya 5410 Digital phone","13","4","-0.01739130434782608696","3.25"
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""","13","4","0.41842105263157894737","3.25"
"Avery 509","13","4","0.43387096774193548387","3.25"
"Fellowes High-Stak Drawer Files","26","8","0.10625000000000000000","3.25"
"Memorex Micro Travel Drive 8 GB","26","8","0.37826086956521739130","3.25"
"Hon 4060 Series Tables","13","4","0.07818181818181818182","3.25"
"Xerox 1986","13","4","0.47187500000000000000","3.25"
"Avery 517","13","4","0.42583333333333333333","3.25"
"ClearOne CHATAttach 160 - speaker phone","13","4","0.15740740740740740741","3.25"
"Xerox 1994","13","4","0.42711864406779661017","3.25"
"Compact Automatic Electric Letter Opener","26","8","-0.01920000000000000000","3.25"
"Hon Valutask Swivel Chairs","13","4","0.11219512195121951220","3.25"
"Easy-staple paper","150","46","0.43767778189531793089","3.260869565217391"
"Newell 341","23","7","0.27743362831858407080","3.2857142857142856"
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7","23","7","0.28932584269662921348","3.2857142857142856"
"Logitech MX Performance Wireless Mouse","23","7","0.26818181818181818182","3.2857142857142856"
"Newell 324","23","7","0.27368421052631578947","3.2857142857142856"
"Newell 320","23","7","0.11631578947368421053","3.2857142857142856"
"Panasonic Kx-TS550","23","7","0.11250000000000000000","3.2857142857142856"
"BIC Brite Liner Highlighters","23","7","0.35865384615384615385","3.2857142857142856"
"Self-Adhesive Address Labels for Typewriters by Universal","23","7","0.41952380952380952381","3.2857142857142856"
"GBC Plasticlear Binding Covers","23","7","-0.99333333333333333333","3.2857142857142856"
"Wilson Jones Hanging View Binder, White, 1""","23","7","0.38514851485148514851","3.2857142857142856"
"Stackable Trays","23","7","0.26226415094339622642","3.2857142857142856"
"Tenex B1-RE Series Chair Mats for Low Pile Carpets","23","7","0.12431192660550458716","3.2857142857142856"
"Staple magnet","33","10","0.16420122246163317356","3.3"
"Bevis Round Conference Table Top, X-Base","20","6","-0.19463087248322147651","3.3333333333333335"
"Recycled Eldon Regeneration Jumbo File","20","6","0.25000000000000000000","3.3333333333333335"
"Kensington K72356US Mouse-in-a-Box USB Desktop Mouse","20","6","0.32989690721649484536","3.3333333333333335"
"Master Caster Door Stop, Large Brown","10","3","0.24390243902439024390","3.3333333333333335"
"Kensington 6 Outlet Guardian Standard Surge Protector","20","6","0.27000000000000000000","3.3333333333333335"
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","20","6","0.08750000000000000000","3.3333333333333335"
"Xerox 1907","10","3","0.47000000000000000000","3.3333333333333335"
"Kensington Expert Mouse Optical USB Trackball for PC or Mac","20","6","0.21348314606741573034","3.3333333333333335"
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16","20","6","0.22340425531914893617","3.3333333333333335"
"HP Standard 104 key PS/2 Keyboard","20","6","0.21052631578947368421","3.3333333333333335"
"Fellowes Superior 10 Outlet Split Surge Protector","30","9","0.06578947368421052632","3.3333333333333335"
"SanDisk Cruzer 16 GB USB Flash Drive","10","3","0.13829787234042553191","3.3333333333333335"
"Eldon Advantage Foldable Chair Mats for Low Pile Carpets","10","3","-0.12857142857142857143","3.3333333333333335"
"Career Cubicle Clock, 8 1/4"", Black","10","3","0.35416666666666666667","3.3333333333333335"
"Xerox 1889","10","3","0.45744680851063829787","3.3333333333333335"
"SanDisk Cruzer 32 GB USB Flash Drive","20","6","0.28421052631578947368","3.3333333333333335"
"DAX Clear Channel Poster Frame","10","3","0.23170731707317073171","3.3333333333333335"
"Xerox 1977","20","6","0.46938775510204081633","3.3333333333333335"
"X-Rack File for Hanging Folders","30","9","0.21276595744680851064","3.3333333333333335"
"Chromcraft Rectangular Conference Tables","30","9","-0.09090909090909090909","3.3333333333333335"
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish","10","3","0.02272727272727272727","3.3333333333333335"
"Sauder Forest Hills Library with Doors, Woodland Oak Finish","10","3","-0.41269841269841269841","3.3333333333333335"
"Petty Cash Envelope","10","3","0.40697674418604651163","3.3333333333333335"
"Sauder Mission Library with Doors, Fruitwood Finish","10","3","-0.13445378151260504202","3.3333333333333335"
"Cisco SPA301","30","9","0.21641791044776119403","3.3333333333333335"
"Eldon Radial Chair Mat for Low to Medium Pile Carpets","20","6","0.17525773195876288660","3.3333333333333335"
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","20","6","-0.02898550724637681159","3.3333333333333335"
